"","logFC","logCPM","PValue","FDR"
"YHR143W",0.710001807110699,8.67165809146766,3.16240933931639e-52,8.62303044273505e-51
"YML001W",-1.16060014144936,7.29604243775149,3.54911069712741e-52,9.63306788757014e-51
"YOR127W",-1.23392512260501,7.1668359442463,5.65838009533954e-52,1.52879611982302e-50
"YPL232W",-0.830877107429122,8.19996421860798,1.41249060364171e-51,3.79895768261272e-50
"YPL134C",-1.70747960119532,6.60151560744007,3.28949680341699e-51,8.80721836462368e-50
"YER190C-B",-1.37720380639922,7.69263138774574,1.92245309759456e-50,5.12394368399415e-49
"YOR356W",-1.20966320240642,7.28017806582951,2.79965258437864e-50,7.42849522052394e-49
"YNL079C",-0.57977490030629,9.01854977832374,8.7147644254699e-50,2.30202058506721e-48
"YOR348C",-2.85940317336834,5.37281773519706,1.16849639059513e-49,3.0728858414006e-48
"YDR011W",0.987541580664036,7.61108791312481,1.78961439746042e-49,4.68546388928023e-48
"YOL105C",-1.34674130913144,6.87638280742122,2.19762425081212e-49,5.72834479826225e-48
"YCR002C",-1.24471764880989,7.10650314406647,3.38270231377258e-49,8.77870596078613e-48
"YOR063W",0.196205870668709,12.0682824928049,8.83595367558488e-49,2.28307152394916e-47
"YKR058W",0.995809071659629,7.26205440330786,1.03925858086714e-48,2.67360566216993e-47
"YPL015C",-1.22199258174671,7.08448334663646,3.66163289802179e-48,9.37916963532248e-47
"YDL055C",0.3341123225277,10.4900725878852,4.36895013211904e-48,1.11427060050639e-46
"YKL032C",-0.770150074292384,8.28315162168647,5.31727838416057e-48,1.35031485832953e-46
"YKL141W",-1.19781693624282,7.31100422108346,8.97371096850849e-48,2.26912170088311e-46
"YDR309C",-1.38358306508355,6.75283238345765,3.09069363507517e-47,7.78197201648501e-46
"YDR074W",0.537502514853471,9.29645789454441,5.70722008582919e-47,1.43091615456997e-45
"YDR086C",-1.07077538026197,7.39444590030659,6.75379292194747e-47,1.686168469163e-45
"YBR054W",1.95457749307307,5.36549895567795,8.99589173656359e-47,2.23649963887592e-45
"YMR251W-A",0.706610870856498,8.30401960017416,9.03407297752505e-47,2.23659455263664e-45
"YDR233C",-0.666204014872076,8.61872550770263,1.09811587437723e-46,2.70731317862085e-45
"YNR050C",0.953977089767947,7.43165864234309,3.71942253725853e-46,9.13187682695384e-45
"YGR130C",-0.671273423103571,8.82086527353659,5.22108882910365e-46,1.27657779346307e-44
"YMR006C",1.09321058162357,6.94609890076752,1.92180537213154e-45,4.67955653781988e-44
"YLR079W",-1.31034454083276,7.0923252103204,5.51481578364574e-45,1.33734282753409e-43
"YOR215C",-1.2675032990022,6.87973152433575,6.9440368925806e-45,1.67705576707753e-43
"YGR055W",0.845417984040408,7.65509474196036,7.17862984321912e-45,1.72666474724909e-43
"YER053C",1.19896796174379,7.29058564735909,1.53193968941781e-44,3.66983285112761e-43
"YCL064C",0.689931679131705,8.19962830966589,3.06157504641796e-44,7.30457239905446e-43
"YPL079W",0.335827568321406,10.3063879783322,5.32049494620275e-44,1.26431199183461e-42
"YMR280C",-1.51645929819109,6.48614315026609,8.1187142611117e-44,1.92153729131992e-42
"YGL080W",-1.5267242501874,6.35391424440001,1.17504715535033e-43,2.77002152119836e-42
"YBR230W-A",-1.6015082948322,6.26612810975039,1.31375447238707e-43,3.08471635441044e-42
"YGR037C",-0.849033461578125,8.09226678150169,2.14698419387451e-43,5.02122746053575e-42
"YMR195W",1.2658017582209,6.53861109136164,2.25601111304586e-43,5.25544006137495e-42
"YPR080W",0.271703405860366,13.2776709298374,1.00134309301784e-42,2.32350865936728e-41
"YGR038C-B",3.28301315005808,7.40845936408001,1.22779892231257e-42,2.83784618098573e-41
"YJL078C",0.677112690657025,8.18892492056286,1.38762510920229e-42,3.19477734285989e-41
"YLL023C",-0.954215127724383,7.50637739413597,5.29400494477804e-42,1.21413283946712e-40
"YBL005W-B",2.1899613366379,7.25442677698353,6.98289109694355e-42,1.59528056450251e-40
"YER073W",0.757041971394154,8.70313016172438,7.10091659580206e-42,1.61600474989849e-40
"YDR054C",-0.779988041758907,7.92701914683618,2.41285503429101e-41,5.47006254325667e-40
"YPL131W",0.237314456910314,11.2399363171269,2.52688035962071e-41,5.70669888850219e-40
"YPR065W",-1.50586051940585,6.51524530971714,3.29673623682537e-41,7.41702977691852e-40
"YIR037W",-0.928467297415843,7.48450631766082,9.43887168782471e-41,2.11552287033556e-39
"YGR243W",-1.29284717576825,6.80814590011722,1.40654411504469e-40,3.14057416178091e-39
"YBR207W",-1.00370039894411,7.27456013989526,2.1839530963555e-40,4.85806408689305e-39
"YJL077C",-1.98975795540764,5.78381207698825,2.27245659630587e-40,5.03600212746886e-39
"YGR204W",0.550726863962435,9.7725986243025,2.64520510183778e-40,5.84017857745304e-39
"YOR261C",-0.848137178264807,7.8168552053131,2.88167754896867e-40,6.33861935213665e-39
"YPR139C",-1.30287203505482,6.61326089928427,3.23918492867932e-40,7.09861378629464e-39
"YKL100C",-0.797145624783101,7.82631268292519,4.67625387445508e-40,1.02101085517161e-38
"YMR072W",-1.01645315845926,7.44579820484816,5.29736093405731e-40,1.1493432515438e-38
